category,final,initial,market,name,price
congelados,17/04/2019,29/03/2019,mundial,"Torta de Frango, Palmito ou Frango c/ Requeijão SADIA 500g",13.50
congelados,17/04/2019,29/03/2019,mundial,"Lasanha Bolonhesa, Calabresa ou Frango PERDIGÃO 600g",9.50
congelados,17/04/2019,29/03/2019,mundial,"Hambúrguer Tradicional, Defumado ou Frango PERDIGÃO 672g",10.50
congelados,17/04/2019,29/03/2019,mundial,Lasanha Congelada SEARA Vários Sabores 600g,8.98
congelados,17/04/2019,29/03/2019,mundial,Empanados de Frango SEARA Tekitos Vários Sabores 300g,4.98
congelados,17/04/2019,29/03/2019,mundial,Empanados de Frango AUROGGETS Vários Sabores Pacote 1 kg,14.98
congelados,17/04/2019,29/03/2019,mundial,Rocambole de Frango Recheado NUTRIFRANGO 1 kg,21.98
congelados,17/04/2019,29/03/2019,mundial,Filezinho Suíno Congelado RAINHA,9.98
congelados,17/04/2019,29/03/2019,mundial,Costela Suína Congelada  RAINHA,15.98
congelados,17/04/2019,29/03/2019,mundial,Filé de Peito Fatiado Congelado NAT. Verde  Pacote 800g,9.98
congelados,17/04/2019,29/03/2019,mundial,Coxinhas das Asas de Frango Congeladas NAT. Pacote 1 kg,9.98
congelados,17/04/2019,29/03/2019,mundial,Peru Temperado SADIA,9.95
congelados,17/04/2019,29/03/2019,mundial,Pernil Suíno SADIA,8.95
congelados,17/04/2019,29/03/2019,mundial,"Tortinha CATUPIRY 420g Frango ou Palmito, Quiche CATUPIRY 440g Alho Poró ou Lorraine, Empanada CATUPIRY 440g Carne ou Calabresa",14.95
congelados,17/04/2019,29/03/2019,mundial,Mini Kibe ou Mini Coxinha CATUPIRY 300g ou Mini Bolinho CATUPIRY 300g Calabresa ou 4 Queijos,12.95
congelados,17/04/2019,29/03/2019,mundial,Pão de Queijo CATUPIRY 390g Tradicional Recheado,10.95
congelados,17/04/2019,29/03/2019,mundial,Anéis de Cebola Congelados MCCAIN 400g,9.80
congelados,17/04/2019,29/03/2019,mundial,Batata Congelada MCCAIN ao Forno Tradicional 600g,9.80
congelados,17/04/2019,29/03/2019,mundial,"Pão de Queijo CATUPIRY Recheado 300g Multigrãos Com Peito de Peru, Calabresa ou Goiabada",12.95
congelados,17/04/2019,29/03/2019,mundial,Pizza MASSA LEVE Vários Sabores 400g,7.95
congelados,17/04/2019,29/03/2019,mundial,Pão de Alho SANTA MASSA Picante ou Tradicional 400g,9.95
congelados,17/04/2019,29/03/2019,mundial,Batata Congelada MCCAIN Smiles 500g,7.80
congelados,17/04/2019,29/03/2019,mundial,"Cappelletti, Ravioli ou Sorrentino FORNO DE MINAS 250g",9.80
congelados,17/04/2019,29/03/2019,mundial,Lasanha FORNO DE MINAS Bolonhesa ou Quatro Queijos 600g,8.80
congelados,17/04/2019,29/03/2019,mundial,Bife de Lombo Suíno SADIA,13.80
congelados,17/04/2019,29/03/2019,mundial,Coxas com Sobrecoxas de Frango Desossadas SADIA Bandeja 1 kg,9.80
congelados,17/04/2019,29/03/2019,mundial,Beef Burguer FRIBOI c/ Queijo 120g,2.80
acougue,17/04/2019,29/03/2019,mundial,Bife Ancho (Entrecote) ou Coração da Alcatra Bovina MATURATTA,26.50
acougue,17/04/2019,29/03/2019,mundial,Linguiça Tipo Calabresa ou Fininha PERDIGÃO a Granel,11.50
acougue,17/04/2019,29/03/2019,mundial,Linguiça Tipo Calabresa ou Fininha SEARA a Granel,10.50
acougue,17/04/2019,29/03/2019,mundial,Fígado Bovino Congelado a Granel,6.50
acougue,17/04/2019,29/03/2019,mundial,Linguiça de  Frango SADIA 800g,9.50
acougue,17/04/2019,29/03/2019,mundial,"Linguiça OURO Apimentada, Ervas Finas ou Alho PERDIGÃO 270g",6.50
acougue,17/04/2019,29/03/2019,mundial,"Linguiça Alho e Ervas, Frango com Bacon ou Pimenta Biquinho Na Brasa PERDIGÃO 600g",15.50
acougue,17/04/2019,29/03/2019,mundial,Salsicha Hot Dog PERDIGÃO 500g ,6.50
peixaria,17/04/2019,29/03/2019,mundial,Lula Congelada em Anéis COSTA SUL Pacote 400g,21.80
peixaria,17/04/2019,29/03/2019,mundial,Camarão Descascado Congelado COSTA SUL G 41/50 Pacote 400g,43.80
peixaria,17/04/2019,29/03/2019,mundial,Filé de Salmão Congelado  COSTA SUL,67.80
peixaria,17/04/2019,29/03/2019,mundial,Camarão Descascado Congelado COSTA SUL 7 Barbas / Ferrinho Pacote 400g,19.80
peixaria,17/04/2019,29/03/2019,mundial,Iscas de Peixe c/ Queijo Empanadas e Congeladas COSTA SUL Pacote 500g,7.80
peixaria,17/04/2019,29/03/2019,mundial,Filé de Tilápia Congelado BOMAR Pacote 500g,15.80
peixaria,17/04/2019,29/03/2019,mundial,Filé de Linguado Congelado COSTA SUL Pacote 500g,29.80
peixaria,17/04/2019,29/03/2019,mundial,Sardinha  Portuguesa Congelada NIGEL  Pacote 1 kg,21.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Presunto Cozido PERDIGÃO,16.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Mortadela Ouro PERDIGÃO,16.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Margarina CLAYBOM 500g ,3.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Peito de Peru Defumado SEARA a Granel,33.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Presunto Cozido SEARA a Granel,16.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Margarina QUALY Cremosa 1 kg ,9.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Salame Tipo Hamburguês ou Italiano SADIA,59.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Margarina QUALY Vita 500g,5.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Mortadela  Defumada SADIA,14.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Peito de Frango SADIA,22.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Presunto  Cozido SADIA,19.80
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Queijo Coalho BONQ 360g,12.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Queijo Minas DO SERRO Meia-Cura Metade,33.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Queijo Minas DO SERRO Artesanal Metade,32.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Manteiga REQUINTE CASEIRO c/ Sal 200g,5.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Requeijão VIGOR Tradicional ou Light 200g,4.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Queijo Processado POLENGUINHO Tradicional ou Light 136g,7.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Cream Cheese POLENGHI Tradicional ou Light 300g,9.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Cream Cheese DANUBIO Tradicional ou Light 150g,3.45
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Iogurte Natural NESTLÉ Vários Sabores 160g / 170g,1.85
